customer_id,telecom_partner,gender,age,state,city,pincode,registration_event,num_dependents,estimated_salary
132681,MTN Nigeria,M,37,Kwara,Abuja,936341,2021-10-26,0,1168048
105152,Glo,M,63,Kano,Lagos,617013,2021-06-10,3,977001
72339,Airtel Nigeria,M,57,Adamawa,Kano,850139,2020-12-28,2,1013468
30173,9mobile,F,20,Cross River,Enugu,143997,2020-05-31,1,786729
225484,9mobile,F,74,Osun,Abuja,896320,2023-02-02,2,198871
240996,9mobile,M,73,Akwa Ibom,Abuja,556924,2023-04-21,4,749142
215598,Glo,F,65,Kano,Enugu,167564,2022-12-15,1,332563
143829,Airtel Nigeria,F,35,Oyo,Enugu,821825,2021-12-20,1,1109849
134178,9mobile,F,21,Anambra,Enugu,314823,2021-11-02,4,735467
60734,9mobile,M,45,Adamawa,Kano,241333,2020-10-30,0,1131900
76002,Glo,M,19,Adamawa,Ibadan,634666,2021-01-15,4,761240
25467,9mobile,M,35,Edo,Ibadan,115238,2020-05-07,4,837182
239336,Airtel Nigeria,F,50,Akwa Ibom,Ibadan,348425,2023-04-12,4,417027
162579,MTN Nigeria,F,38,Ondo,Ibadan,763649,2022-03-24,2,1194174
81028,MTN Nigeria,M,41,Katsina,Ibadan,256833,2021-02-09,1,751339
127787,Glo,M,68,Akwa Ibom,Lagos,984469,2021-10-01,3,142912
71451,9mobile,M,60,Cross River,Enugu,960386,2020-12-23,3,664722
71794,MTN Nigeria,F,48,Rivers,Kano,771200,2020-12-25,1,1022809
116234,9mobile,M,68,Ekiti,Kano,195751,2021-08-04,3,696863
122756,Airtel Nigeria,F,71,Sokoto,Ibadan,332072,2021-09-06,2,768832
174410,Glo,F,58,Edo,Enugu,837470,2022-05-22,2,205885
72732,Airtel Nigeria,M,74,Rivers,Lagos,616723,2020-12-30,4,550245
87265,MTN Nigeria,M,33,Imo,Ibadan,965904,2021-03-12,3,664187
60724,MTN Nigeria,M,20,Lagos,Lagos,717860,2020-10-30,3,764946
202063,MTN Nigeria,F,29,Enugu,Kano,149353,2022-10-08,0,954330
173173,Glo,M,19,Benue,Ibadan,533507,2022-05-16,2,281094
190188,MTN Nigeria,M,31,Anambra,Port Harcourt,896214,2022-08-09,3,265333
102695,Glo,F,31,Enugu,Ibadan,986450,2021-05-28,3,294700
87018,MTN Nigeria,F,33,Ekiti,Lagos,809296,2021-03-11,3,534950
157203,9mobile,F,30,Kwara,Kano,872651,2022-02-25,2,645187
184488,MTN Nigeria,F,64,Rivers,Kano,726837,2022-07-12,2,1074355
105652,9mobile,F,22,Bauchi,Lagos,767606,2021-06-12,1,1074933
202714,MTN Nigeria,M,70,Lagos,Enugu,235204,2022-10-11,1,767100
152214,Glo,F,22,Oyo,Enugu,469360,2022-01-31,0,387401
215394,Airtel Nigeria,F,55,Kebbi,Ibadan,288350,2022-12-14,4,540775
187347,MTN Nigeria,F,45,Niger,Kano,482373,2022-07-26,2,745868
168411,Airtel Nigeria,M,23,Kebbi,Kano,474608,2022-04-22,0,1151624
94636,9mobile,F,74,Bauchi,Ibadan,270785,2021-04-18,0,1179612
56914,Airtel Nigeria,M,33,Taraba,Ibadan,586089,2020-10-11,4,282964
83099,9mobile,F,31,Kebbi,Lagos,418546,2021-02-19,3,333804
220424,Glo,F,24,Osun,Ibadan,595692,2023-01-08,2,652020
228871,Glo,F,19,Ekiti,Kano,970819,2023-02-19,3,743481
134034,MTN Nigeria,M,33,Edo,Port Harcourt,529465,2021-11-01,0,166798
224340,MTN Nigeria,F,37,FCT Abuja,Ibadan,623523,2023-01-27,0,1045945
129504,MTN Nigeria,M,23,Taraba,Abuja,219097,2021-10-10,3,345437
183114,Glo,F,52,Ogun,Enugu,643675,2022-07-05,2,1080534
140284,9mobile,M,69,Kebbi,Abuja,528468,2021-12-03,1,317647
19546,Airtel Nigeria,F,59,Edo,Kano,932232,2020-04-07,1,1014442
130130,9mobile,M,45,Kaduna,Abuja,420168,2021-10-13,3,371874
216392,Airtel Nigeria,M,69,Kebbi,Enugu,623937,2022-12-19,2,653925
207074,Airtel Nigeria,M,47,Ondo,Kano,303764,2022-11-02,4,669444
236949,Glo,M,22,Kaduna,Enugu,802946,2023-03-31,1,1155855
237614,Glo,M,42,Imo,Ibadan,615012,2023-04-04,0,611115
72997,Glo,F,33,Ekiti,Enugu,439800,2020-12-31,4,353632
87879,Glo,M,56,Kebbi,Lagos,535356,2021-03-15,3,404601
132627,Airtel Nigeria,M,70,Akwa Ibom,Abuja,856060,2021-10-25,0,237199
188513,Airtel Nigeria,M,50,Plateau,Enugu,652930,2022-08-01,0,223860
113970,Glo,F,64,Anambra,Port Harcourt,961982,2021-07-24,1,677371
164373,9mobile,F,60,Kwara,Abuja,865543,2022-04-02,0,705945
2079,MTN Nigeria,M,35,Ogun,Kano,265182,2020-01-11,1,696570
54279,MTN Nigeria,F,52,Imo,Lagos,596217,2020-09-28,4,1107850
240337,9mobile,M,63,Borno,Kano,600344,2023-04-17,2,880344
152186,9mobile,F,51,Adamawa,Abuja,957601,2022-01-31,0,287307
212138,Airtel Nigeria,M,52,Imo,Ibadan,722008,2022-11-27,1,626350
45376,MTN Nigeria,F,62,Kebbi,Kano,539481,2020-08-15,1,353907
74004,Glo,M,46,Kaduna,Lagos,718353,2021-01-05,1,1185894
129710,MTN Nigeria,M,57,Adamawa,Abuja,406225,2021-10-11,4,136139
74325,Airtel Nigeria,M,49,Akwa Ibom,Enugu,630438,2021-01-06,3,897457
219084,9mobile,M,36,Niger,Kano,394660,2023-01-01,2,287901
33493,Glo,F,57,Ogun,Kano,748897,2020-06-16,3,183024
34421,Glo,F,66,Bauchi,Ibadan,504389,2020-06-21,3,1023601
3103,Airtel Nigeria,M,60,Borno,Kano,582490,2020-01-16,0,552977
238385,MTN Nigeria,F,57,Sokoto,Kano,217241,2023-04-08,4,440706
157049,Glo,F,18,Ekiti,Kano,165243,2022-02-25,2,1129676
2637,9mobile,M,22,Delta,Abuja,988109,2020-01-14,4,110280
160730,Airtel Nigeria,M,50,Plateau,Enugu,854747,2022-03-15,4,633218
151664,9mobile,M,51,Imo,Kano,721505,2022-01-29,2,515881
18490,9mobile,F,48,Bauchi,Kano,392375,2020-04-02,0,181981
78243,Airtel Nigeria,M,69,Ekiti,Port Harcourt,637284,2021-01-26,3,1097113
97115,9mobile,M,44,Ekiti,Abuja,692955,2021-05-01,0,253950
229932,Airtel Nigeria,M,39,Edo,Ibadan,649388,2023-02-24,2,1007419
11084,MTN Nigeria,M,21,Niger,Abuja,202415,2020-02-25,0,117923
11502,Airtel Nigeria,M,37,Taraba,Lagos,935657,2020-02-27,1,926833
94047,Airtel Nigeria,F,64,Akwa Ibom,Kano,779520,2021-04-15,0,695053
160832,Glo,M,34,Kaduna,Abuja,499816,2022-03-15,0,352236
209800,Airtel Nigeria,M,36,Anambra,Abuja,475565,2022-11-16,3,357397
39669,MTN Nigeria,M,37,FCT Abuja,Kano,336528,2020-07-17,1,204222
74040,9mobile,F,43,Ogun,Ibadan,933533,2021-01-05,1,232149
121501,Airtel Nigeria,M,26,Ogun,Abuja,567476,2021-08-31,1,359853
127296,MTN Nigeria,M,57,Ogun,Lagos,510034,2021-09-29,3,214131
203862,9mobile,M,70,Delta,Port Harcourt,247369,2022-10-17,3,444644
53881,Airtel Nigeria,F,68,Kano,Enugu,783613,2020-09-26,2,141947
137141,MTN Nigeria,M,47,Kwara,Abuja,304233,2021-11-17,3,463696
63528,MTN Nigeria,M,37,Osun,Kano,233577,2020-11-13,1,168530
101224,MTN Nigeria,M,29,Oyo,Abuja,296350,2021-05-21,1,767557
5618,Airtel Nigeria,M,70,Sokoto,Lagos,844068,2020-01-29,0,1101214
157910,Glo,F,52,Katsina,Kano,639216,2022-03-01,3,921844
112432,9mobile,F,37,Osun,Ibadan,352243,2021-07-16,3,988539
148730,Airtel Nigeria,F,53,Sokoto,Abuja,251821,2022-01-14,2,1174648
68854,Airtel Nigeria,F,35,Benue,Ibadan,751861,2020-12-10,1,393201
92701,Airtel Nigeria,F,72,Ondo,Abuja,447771,2021-04-08,4,1093011
69360,MTN Nigeria,M,49,Ondo,Abuja,752749,2020-12-13,2,648453
97248,9mobile,F,28,Bauchi,Lagos,755620,2021-05-01,2,572451
78826,MTN Nigeria,F,73,Ekiti,Kano,826210,2021-01-29,1,701016
33563,Airtel Nigeria,M,72,Ondo,Port Harcourt,392773,2020-06-16,2,1040275
45341,9mobile,M,72,Anambra,Lagos,390662,2020-08-14,4,848935
188470,Airtel Nigeria,F,46,Akwa Ibom,Enugu,270154,2022-08-01,0,144713
147074,MTN Nigeria,M,48,Rivers,Enugu,655782,2022-01-06,1,452554
27421,9mobile,M,73,Ekiti,Port Harcourt,987795,2020-05-17,2,692839
222443,MTN Nigeria,F,35,Niger,Abuja,138369,2023-01-18,1,93675
162771,MTN Nigeria,F,38,Plateau,Port Harcourt,167602,2022-03-25,0,723093
63303,MTN Nigeria,M,18,Bauchi,Kano,766774,2020-11-12,1,165557
105740,Airtel Nigeria,F,43,Akwa Ibom,Enugu,670100,2021-06-13,4,717690
9104,Glo,F,44,Benue,Port Harcourt,645188,2020-02-15,1,1072098
210666,MTN Nigeria,M,62,Bauchi,Abuja,944664,2022-11-20,2,1071693
105804,Airtel Nigeria,F,72,Kano,Enugu,822999,2021-06-13,0,1059595
204829,Airtel Nigeria,M,29,Niger,Lagos,351294,2022-10-22,1,629857
127207,9mobile,F,36,Katsina,Lagos,571215,2021-09-28,3,1089452
184158,Airtel Nigeria,M,49,Katsina,Kano,568410,2022-07-10,1,227893
200343,MTN Nigeria,F,49,Benue,Abuja,918484,2022-09-29,1,670486
159066,9mobile,F,74,Oyo,Kano,400087,2022-03-07,1,1067169
53208,Airtel Nigeria,F,70,Anambra,Lagos,208558,2020-09-23,4,1176872
190861,Airtel Nigeria,M,55,Kebbi,Abuja,615720,2022-08-13,1,506635
54756,Glo,M,43,Benue,Enugu,811456,2020-10-01,3,351719
231601,MTN Nigeria,M,38,Akwa Ibom,Kano,228111,2023-03-05,1,196708
243352,Airtel Nigeria,F,49,Borno,Enugu,169024,2023-05-02,1,236217
220098,Airtel Nigeria,F,44,Borno,Kano,868552,2023-01-06,2,662481
114845,9mobile,F,67,Ondo,Enugu,825085,2021-07-28,4,167591
19446,Airtel Nigeria,F,63,Oyo,Abuja,727564,2020-04-07,4,335838
41482,Glo,M,67,Lagos,Abuja,220693,2020-07-26,1,1073657
142769,Airtel Nigeria,M,58,FCT Abuja,Kano,370700,2021-12-15,0,132149
54689,Glo,F,30,Niger,Lagos,139613,2020-09-30,0,623403
88826,Airtel Nigeria,F,25,Akwa Ibom,Port Harcourt,845798,2021-03-20,1,1125980
225867,Glo,M,35,Kwara,Port Harcourt,665095,2023-02-04,3,709254
145395,Airtel Nigeria,M,19,Kano,Ibadan,229417,2021-12-28,0,732072
191,MTN Nigeria,M,66,Katsina,Kano,214048,2020-01-01,0,762102
230286,Airtel Nigeria,M,42,Edo,Ibadan,196175,2023-02-26,1,680473
224751,MTN Nigeria,F,35,Kano,Port Harcourt,125642,2023-01-29,4,1154933
38410,Glo,M,49,Imo,Ibadan,680611,2020-07-11,4,238759
221659,Airtel Nigeria,F,39,Oyo,Abuja,255949,2023-01-14,3,941025
23378,9mobile,M,22,Kano,Abuja,221155,2020-04-27,3,1072692
229092,Airtel Nigeria,M,35,Lagos,Kano,653806,2023-02-20,2,1051538
16614,Airtel Nigeria,M,35,Borno,Lagos,985210,2020-03-24,4,550185
120436,Airtel Nigeria,M,60,Ondo,Abuja,561645,2021-08-25,0,936018
26594,Glo,M,72,Katsina,Port Harcourt,930263,2020-05-13,1,573545
58761,9mobile,M,47,Borno,Port Harcourt,603666,2020-10-21,2,979250
164707,Airtel Nigeria,F,34,Anambra,Kano,880241,2022-04-04,3,249375
112027,Glo,M,58,Kaduna,Kano,709639,2021-07-14,4,562757
27426,Glo,M,73,Plateau,Lagos,337115,2020-05-17,4,93408
129655,9mobile,M,57,Ogun,Enugu,920692,2021-10-10,4,393692
56778,9mobile,F,39,Katsina,Kano,848158,2020-10-11,3,403222
119828,Glo,F,38,Kaduna,Lagos,884511,2021-08-22,3,281404
12273,Glo,M,43,Ekiti,Ibadan,232681,2020-03-02,4,485928
221903,Glo,F,58,Kaduna,Port Harcourt,320171,2023-01-15,0,1101266
8298,Glo,F,41,Enugu,Abuja,788488,2020-02-11,0,120215
99496,Airtel Nigeria,M,18,Borno,Enugu,270303,2021-05-12,0,1088229
224725,Glo,F,52,Ekiti,Ibadan,729098,2023-01-29,1,989513
241609,9mobile,M,53,Kwara,Ibadan,335685,2023-04-24,2,581128
90083,MTN Nigeria,M,32,Delta,Enugu,377995,2021-03-26,4,347177
30389,Glo,M,61,Ondo,Ibadan,527598,2020-06-01,2,254657
90937,Airtel Nigeria,F,61,Ekiti,Ibadan,492415,2021-03-31,1,754105
126193,MTN Nigeria,F,42,Bauchi,Kano,856415,2021-09-23,4,625471
67425,9mobile,M,70,Benue,Kano,838581,2020-12-03,4,682662
191886,MTN Nigeria,M,70,Ogun,Enugu,215036,2022-08-18,3,418759
173192,MTN Nigeria,M,71,Rivers,Port Harcourt,853222,2022-05-16,3,1079052
5167,Glo,M,44,Katsina,Port Harcourt,573039,2020-01-26,4,794209
66226,Glo,M,36,Kwara,Ibadan,275950,2020-11-27,3,146910
213723,Airtel Nigeria,M,37,Delta,Port Harcourt,558509,2022-12-05,1,588125
138553,Glo,F,44,Taraba,Enugu,888587,2021-11-24,1,195493
231789,MTN Nigeria,M,37,Adamawa,Enugu,699897,2023-03-06,3,104791
5781,MTN Nigeria,M,39,FCT Abuja,Abuja,905480,2020-01-29,1,321111
160007,9mobile,M,37,Bauchi,Ibadan,181665,2022-03-11,2,873942
120828,Glo,M,27,Taraba,Port Harcourt,539354,2021-08-27,2,540103
49844,MTN Nigeria,F,24,Kano,Port Harcourt,673986,2020-09-06,0,252434
217904,Airtel Nigeria,F,59,Ekiti,Lagos,539802,2022-12-26,1,839396
190527,Glo,M,31,Bauchi,Ibadan,272678,2022-08-11,0,621370
20187,9mobile,M,43,Kaduna,Kano,587239,2020-04-11,3,515398
39936,9mobile,F,47,Borno,Kano,110635,2020-07-18,1,1019982
110779,Airtel Nigeria,M,27,Enugu,Lagos,260536,2021-07-08,4,92236
10407,9mobile,M,35,Osun,Enugu,373984,2020-02-22,4,214019
224380,Glo,M,47,Osun,Ibadan,390428,2023-01-28,2,89151
104729,Airtel Nigeria,F,32,Ogun,Kano,289452,2021-06-08,4,873838
122589,9mobile,M,72,Taraba,Lagos,260881,2021-09-05,1,316949
32070,MTN Nigeria,M,55,Kwara,Enugu,375107,2020-06-09,3,910978
14681,9mobile,F,37,Sokoto,Ibadan,146033,2020-03-14,4,778233
123547,Glo,M,63,Sokoto,Abuja,429840,2021-09-10,2,802369
119728,Airtel Nigeria,M,65,Bauchi,Lagos,824022,2021-08-22,1,1019724
99961,Airtel Nigeria,F,34,Anambra,Lagos,547018,2021-05-15,3,490090
238459,Airtel Nigeria,F,48,Lagos,Enugu,336172,2023-04-08,0,488065
72419,Glo,M,52,Kano,Kano,772878,2020-12-28,3,1008272
136798,MTN Nigeria,M,52,Cross River,Kano,909850,2021-11-15,3,286092
126196,Glo,M,18,Bauchi,Enugu,240802,2021-09-23,1,813476
204621,9mobile,M,34,Anambra,Ibadan,215993,2022-10-21,3,299319
28298,MTN Nigeria,F,46,Ondo,Port Harcourt,660427,2020-05-21,3,489151
200971,Airtel Nigeria,M,42,Kaduna,Port Harcourt,565067,2022-10-02,3,434674
185374,MTN Nigeria,M,21,Kwara,Port Harcourt,601171,2022-07-16,0,714002
18830,Glo,F,44,Niger,Lagos,391541,2020-04-04,3,1012908
115082,Airtel Nigeria,M,50,Niger,Port Harcourt,860828,2021-07-29,3,348143
233027,Glo,F,50,Niger,Kano,944275,2023-03-12,4,339836
24854,MTN Nigeria,F,66,Plateau,Abuja,906282,2020-05-04,4,398655
51952,Glo,F,65,Kano,Enugu,173961,2020-09-17,1,576872
57364,Airtel Nigeria,F,21,Rivers,Lagos,446864,2020-10-14,0,972339
170388,9mobile,F,44,Taraba,Enugu,817179,2022-05-02,1,1140112
92958,Airtel Nigeria,M,51,Delta,Kano,630831,2021-04-10,4,1197888
191980,Airtel Nigeria,F,61,Rivers,Port Harcourt,779863,2022-08-18,2,303644
66512,9mobile,M,48,Ogun,Enugu,280262,2020-11-28,0,1061189
146592,9mobile,M,58,Delta,Kano,545448,2022-01-03,4,398190
233770,Airtel Nigeria,M,34,Niger,Kano,546614,2023-03-16,2,1088367
179905,Airtel Nigeria,F,64,Edo,Ibadan,272813,2022-06-19,4,328410
56423,MTN Nigeria,M,41,Lagos,Lagos,946356,2020-10-09,1,1018026
83380,Glo,M,64,Plateau,Port Harcourt,105170,2021-02-21,4,219810
207639,9mobile,F,62,Cross River,Ibadan,533839,2022-11-05,0,1027962
46299,MTN Nigeria,M,37,Bauchi,Lagos,994729,2020-08-19,4,410176
190611,Glo,F,37,Ogun,Enugu,424564,2022-08-12,0,88005
31929,Airtel Nigeria,M,43,Sokoto,Ibadan,976788,2020-06-08,4,939345
116840,9mobile,M,31,Imo,Port Harcourt,307807,2021-08-07,2,132373
85437,MTN Nigeria,F,68,Adamawa,Abuja,849774,2021-03-03,0,104997
206684,MTN Nigeria,M,48,Ogun,Kano,219521,2022-10-31,1,220292
123405,MTN Nigeria,M,35,Kaduna,Ibadan,577680,2021-09-09,4,1180086
140440,Airtel Nigeria,F,31,Anambra,Abuja,875968,2021-12-03,0,919526
170272,Glo,F,43,Katsina,Port Harcourt,352151,2022-05-02,3,965799
238383,MTN Nigeria,F,24,Lagos,Ibadan,366668,2023-04-08,2,136036
125946,9mobile,M,74,FCT Abuja,Enugu,466288,2021-09-22,0,313183
1306,9mobile,M,73,Benue,Lagos,976086,2020-01-07,3,228858
35776,Airtel Nigeria,F,55,Plateau,Abuja,752052,2020-06-28,3,636277
234743,Airtel Nigeria,F,31,Akwa Ibom,Abuja,720634,2023-03-20,1,376406
200379,Airtel Nigeria,M,52,Niger,Abuja,889060,2022-09-29,2,1175682
7316,Glo,F,64,Katsina,Ibadan,961214,2020-02-06,0,924601
103908,Glo,F,66,Cross River,Kano,348320,2021-06-04,4,218724
484,Glo,M,30,Plateau,Enugu,205906,2020-01-03,3,252994
48874,MTN Nigeria,M,34,Niger,Abuja,248492,2020-09-01,4,715389
195399,Airtel Nigeria,M,21,Kwara,Abuja,956176,2022-09-04,2,637363
172591,Glo,M,63,Edo,Ibadan,235418,2022-05-13,1,670392
22829,Airtel Nigeria,M,34,Ogun,Port Harcourt,678239,2020-04-24,0,436596
82005,Airtel Nigeria,M,25,Bauchi,Abuja,765905,2021-02-14,3,1092313
23711,9mobile,M,55,Kwara,Enugu,283236,2020-04-28,1,736510
159927,9mobile,M,42,Borno,Kano,572923,2022-03-11,1,885902
67029,Glo,F,74,Sokoto,Kano,119800,2020-12-01,4,334140
77747,Glo,M,69,Ondo,Kano,866961,2021-01-24,0,107755
157551,MTN Nigeria,F,72,Kebbi,Port Harcourt,924229,2022-02-27,0,240284
47558,MTN Nigeria,F,66,Kano,Abuja,454610,2020-08-26,3,546729
135015,Airtel Nigeria,M,65,Imo,Port Harcourt,808319,2021-11-06,4,859707
213546,Airtel Nigeria,M,67,Sokoto,Lagos,519439,2022-12-04,1,676044
82415,Glo,M,55,Ogun,Port Harcourt,600421,2021-02-16,0,704592
133490,MTN Nigeria,F,33,Edo,Ibadan,830959,2021-10-30,0,208668
213885,Glo,M,33,Kebbi,Abuja,172470,2022-12-06,4,905333
150662,MTN Nigeria,M,54,Sokoto,Abuja,960271,2022-01-24,3,1134157
5906,Airtel Nigeria,M,24,Benue,Enugu,989585,2020-01-30,1,996423
177414,MTN Nigeria,M,66,Delta,Ibadan,643560,2022-06-06,3,385764
159790,MTN Nigeria,M,55,Ekiti,Lagos,445300,2022-03-10,2,202869
133638,9mobile,M,26,Cross River,Lagos,574294,2021-10-30,2,724704
92140,Glo,F,63,Kwara,Kano,771565,2021-04-06,4,1051305
85157,MTN Nigeria,M,40,Borno,Enugu,578583,2021-03-02,2,683093
120246,MTN Nigeria,M,20,Kwara,Abuja,424494,2021-08-24,0,717638
15646,9mobile,M,24,Benue,Port Harcourt,575923,2020-03-19,3,364954
156019,MTN Nigeria,M,18,Rivers,Abuja,942571,2022-02-19,2,867789
218185,Airtel Nigeria,M,42,Adamawa,Port Harcourt,660838,2022-12-28,1,260499
227068,MTN Nigeria,M,69,Kaduna,Enugu,534725,2023-02-10,1,987333
46011,Airtel Nigeria,M,41,Akwa Ibom,Lagos,154632,2020-08-18,3,121232
41896,Airtel Nigeria,M,37,Sokoto,Port Harcourt,206717,2020-07-28,4,1080008
183501,Airtel Nigeria,F,56,Borno,Kano,413400,2022-07-07,0,353278
102214,Glo,M,53,Borno,Lagos,978120,2021-05-26,1,875234
25144,9mobile,M,59,Niger,Port Harcourt,930397,2020-05-05,1,470719
17915,Airtel Nigeria,M,54,Lagos,Enugu,411107,2020-03-30,0,734709
239916,9mobile,M,66,Benue,Enugu,465502,2023-04-15,2,192270
235723,MTN Nigeria,F,24,Plateau,Kano,902600,2023-03-25,3,612572
187095,9mobile,M,64,Kebbi,Ibadan,797417,2022-07-25,2,759388
214763,Glo,M,43,Bauchi,Kano,279840,2022-12-10,2,918035
32255,9mobile,M,71,Katsina,Abuja,582304,2020-06-10,3,412692
240701,9mobile,F,19,Borno,Port Harcourt,231380,2023-04-19,1,671822
39837,Glo,M,57,Edo,Enugu,939938,2020-07-18,4,333089
86357,MTN Nigeria,M,62,Niger,Lagos,187492,2021-03-08,3,854278
3017,MTN Nigeria,F,35,Borno,Lagos,772421,2020-01-16,2,861990
43077,Glo,M,74,Cross River,Kano,518776,2020-08-03,1,1089642
237527,9mobile,F,70,Ondo,Port Harcourt,200365,2023-04-03,4,143308
233924,9mobile,F,30,Ekiti,Lagos,923932,2023-03-16,1,127608
142742,9mobile,M,72,Kano,Port Harcourt,907130,2021-12-15,1,680215
39924,MTN Nigeria,F,31,Kwara,Ibadan,855842,2020-07-18,3,528548
14142,MTN Nigeria,F,65,Kaduna,Kano,866287,2020-03-11,4,609590
152853,MTN Nigeria,M,61,Kebbi,Port Harcourt,869292,2022-02-04,1,1051538
88842,Airtel Nigeria,M,73,Ondo,Ibadan,783261,2021-03-20,1,349659
37860,9mobile,F,43,Edo,Lagos,130438,2020-07-08,1,553614
179092,9mobile,F,62,Oyo,Abuja,505313,2022-06-15,4,408289
56183,9mobile,F,68,Benue,Enugu,552983,2020-10-08,1,274898
172386,MTN Nigeria,F,74,Ogun,Port Harcourt,375513,2022-05-12,1,128022
220138,Glo,F,29,Lagos,Lagos,254736,2023-01-06,3,910900
226496,9mobile,M,63,Plateau,Ibadan,144629,2023-02-07,2,83739
206709,9mobile,F,26,Delta,Enugu,688508,2022-10-31,3,611770
48945,Airtel Nigeria,F,60,Rivers,Ibadan,596306,2020-09-01,2,181370
97726,Glo,M,53,Enugu,Port Harcourt,483179,2021-05-04,1,223825
73316,9mobile,M,45,Akwa Ibom,Abuja,551078,2021-01-01,0,587376
178647,Airtel Nigeria,F,63,Benue,Lagos,182973,2022-06-13,0,654769
124850,MTN Nigeria,F,74,Niger,Abuja,178599,2021-09-16,1,383412
177432,9mobile,M,48,Rivers,Ibadan,380953,2022-06-07,3,589133
190782,9mobile,F,51,Ondo,Abuja,855804,2022-08-12,1,1006006
167236,Glo,F,73,Ekiti,Abuja,586872,2022-04-17,1,478604
23645,Glo,M,31,Kano,Lagos,667761,2020-04-28,2,1119620
17470,MTN Nigeria,M,31,FCT Abuja,Ibadan,558889,2020-03-28,4,954967
188456,Glo,M,57,Taraba,Abuja,560396,2022-08-01,0,1019793
173710,MTN Nigeria,F,52,Rivers,Port Harcourt,884639,2022-05-19,2,574278
105088,Airtel Nigeria,M,57,Delta,Abuja,498026,2021-06-09,3,278595
13955,9mobile,M,29,Enugu,Enugu,489041,2020-03-10,1,134243
223724,9mobile,F,34,Ekiti,Port Harcourt,838382,2023-01-24,4,301163
181274,Glo,F,64,Anambra,Enugu,519271,2022-06-26,2,1075338
67146,Airtel Nigeria,M,64,Anambra,Lagos,242902,2020-12-02,3,1087160
195025,Glo,F,35,Bauchi,Abuja,925944,2022-09-03,1,425351
52443,Airtel Nigeria,M,56,Anambra,Lagos,938585,2020-09-19,2,948953
